Licences:
Apache-2.0
BSD-2-Clause
BSD-3-Clause
LGPL-3.0-linking-exception
MIT
MPL-2.0

Packages:
github.com/Masterminds/goutils; Apache-2.0
github.com/Masterminds/semver/v3; MIT
github.com/Masterminds/sprig/v3; MIT
github.com/Masterminds/squirrel; MIT
github.com/SSSaaS/sssa-golang; MIT
github.com/beorn7/perks; MIT
github.com/cenkalti/backoff; MIT
github.com/cespare/xxhash/v2; MIT
github.com/fabienm/go-logrus-formatters; MIT
github.com/facebookgo/httpcontrol; BSD-3-Clause
github.com/fsnotify/fsnotify; BSD-3-Clause
github.com/gabriel-vasile/mimetype; MIT
github.com/gin-contrib/sse; MIT
github.com/gin-gonic/gin; MIT
github.com/go-gorp/gorp; MIT
github.com/go-ping/ping; MIT
github.com/go-playground/locales; MIT
github.com/go-playground/universal-translator; MIT
github.com/go-playground/validator/v10; MIT
github.com/gofrs/uuid; MIT
github.com/golang/go; BSD-3-Clause
github.com/golang/protobuf; BSD-3-Clause
github.com/google/uuid; BSD-3-Clause
github.com/hashicorp/go-cleanhttp; MPL-2.0
github.com/hashicorp/go-retryablehttp; MPL-2.0
github.com/hashicorp/go-uuid; MPL-2.0
github.com/hashicorp/hcl; MPL-2.0
github.com/huandu/xstrings; MIT
github.com/imdario/mergo; BSD-3-Clause
github.com/jcmturner/aescts/v2; Apache-2.0
github.com/jcmturner/dnsutils/v2; Apache-2.0
github.com/jcmturner/gofork; BSD-3-Clause
github.com/jcmturner/goidentity/v6; Apache-2.0
github.com/jcmturner/gokrb5/v8; Apache-2.0
github.com/jcmturner/rpc/v2; Apache-2.0
github.com/jinzhu/now; MIT
github.com/jpillora/backoff; MIT
github.com/juju/errors; LGPL-3.0-linking-exception
github.com/lann/builder; MIT
github.com/lann/ps; MIT
github.com/leodido/go-urn; MIT
github.com/lib/pq; MIT
github.com/loopfz/gadgeto; MIT
github.com/magiconair/properties; BSD-2-Clause
github.com/markusthoemmes/goautoneg; Apache-2.0
github.com/mattn/go-isatty; MIT
github.com/matttproud/golang_protobuf_extensions; Apache-2.0
github.com/miscreant/miscreant.go; MIT
github.com/mitchellh/copystructure; MIT
github.com/mitchellh/mapstructure; MIT
github.com/mitchellh/reflectwalk; MIT
github.com/opsgenie/opsgenie-go-sdk-v2; Apache-2.0
github.com/ovh/configstore; BSD-3-Clause
github.com/ovh/go-ovh; BSD-3-Clause
github.com/ovh/symmecrypt; BSD-3-Clause
github.com/ovh/tat; BSD-3-Clause
github.com/pelletier/go-toml/v2; MIT
github.com/pelletier/go-toml; MIT
github.com/pkg/errors; BSD-2-Clause
github.com/prometheus/client_golang; Apache-2.0
github.com/prometheus/client_model; Apache-2.0
github.com/prometheus/common; Apache-2.0
github.com/prometheus/procfs; Apache-2.0
github.com/robertkrimen/otto; MIT
github.com/santhosh-tekuri/jsonschema; BSD-3-Clause
github.com/sirupsen/logrus; MIT
github.com/spf13/afero; Apache-2.0
github.com/spf13/cast; MIT
github.com/spf13/cobra; Apache-2.0
github.com/spf13/jwalterweatherman; MIT
github.com/spf13/pflag; BSD-3-Clause
github.com/spf13/viper; MIT
github.com/tidwall/gjson; MIT
github.com/tidwall/match; MIT
github.com/tidwall/pretty; MIT
github.com/ugorji/go/codec; MIT
github.com/wI2L/fizz; MIT
github.com/ybriffa/go-http-digest-auth-client; BSD-2-Clause
golang.org/x/crypto; BSD-3-Clause
golang.org/x/net; BSD-3-Clause
golang.org/x/sync; BSD-3-Clause
golang.org/x/sys; BSD-3-Clause
golang.org/x/text; BSD-3-Clause
google.golang.org/protobuf; BSD-3-Clause
gopkg.in/go-playground/validator.v9; MIT
gopkg.in/ini.v1; Apache-2.0
gopkg.in/mail.v2; MIT
gopkg.in/sourcemap.v1; BSD-2-Clause
gopkg.in/yaml.v2; Apache-2.0
gopkg.in/yaml.v3; Apache-2.0
